"Host","Host_Upham"
"nyctinomops laticaudatus","Nyctinomops laticaudatus"
"nyctinomops macrotis","Nyctinomops macrotis"
"otomops martiensseni","Otomops martiensseni"
"parastrellus hesperus","Parastrellus hesperus"
"perimyotis subflavus","Pipistrellus subflavus"
"philetor brachypterus","Philetor brachypterus"
"phyllostomus discolor","Phyllostomus discolor"
"phyllostomus hastatus","Phyllostomus hastatus"
"pipistrellus abramus","Pipistrellus abramus"
"pipistrellus ceylonicus","Pipistrellus ceylonicus"
"pipistrellus hesperidus","Pipistrellus hesperidus"
"pipistrellus kuhlii","Pipistrellus kuhlii"
"pipistrellus nathusii","Pipistrellus nathusii"
"pipistrellus pipistrellus","Pipistrellus pipistrellus"
"platyrrhinus helleri","Platyrrhinus helleri"
"platyrrhinus lineatus","Platyrrhinus lineatus"
"plecotus auritus","Plecotus auritus"
"plecotus austriacus","Plecotus austriacus"
"pteronotus davyi","Pteronotus davyi"
"pteronotus parnellii","Pteronotus parnellii"
"pteropus admiralitatum","Pteropus admiralitatum"
"pteropus alecto","Pteropus alecto"
"pteropus capistratus","Pteropus capistratus"
"pteropus conspicillatus","Pteropus conspicillatus"
"pteropus dasymallus","Pteropus dasymallus"
"pteropus giganteus","Pteropus giganteus"
"pteropus hypomelanus","Pteropus hypomelanus"
"pteropus lylei","Pteropus lylei"
"pteropus neohibernicus","Pteropus neohibernicus"
"pteropus poliocephalus","Pteropus poliocephalus"
"pteropus pumilus","Pteropus pumilus"
"pteropus rodricensis","Pteropus rodricensis"
"pteropus rufus","Pteropus rufus"
"pteropus scapulatus","Pteropus scapulatus"
"pteropus vampyrus","Pteropus vampyrus"
"rhinolophus affinis","Rhinolophus affinis"
"rhinolophus alcyone","Rhinolophus alcyone"
"rhinolophus blasii","Rhinolophus blasii"
"rhinolophus cornutus","Rhinolophus pusillus"
"rhinolophus eloquens","Rhinolophus eloquens"
"rhinolophus euryale","Rhinolophus euryale"
