"PaperID","IndividualID","Virus_ICTV","Virus_strain_isolate","Host_Upham","Host_order","aggression","lethargy","vocalization","sensitivity","appetite","skin_issue","weight_loss","movement","eye_nose","pneumonia","neural_damage","respiratory_damage","reproductive_damage","digestive_damage","external_damage","internal_damage","severity_rank","Susceptible_YN"
8,"10_8","Zaire ebolavirus","","Rousettus_aegyptiacus","Chiroptera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,"Y"
8,"11_8","Zaire ebolavirus","","Rousettus_aegyptiacus","Chiroptera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,"Y"
8,"12_8","Zaire ebolavirus","","Rousettus_aegyptiacus","Chiroptera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,"Y"
8,"13_8","Bundibugyo ebolavirus","","Rousettus_aegyptiacus","Chiroptera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,"Y"
8,"14_8","Bundibugyo ebolavirus","","Rousettus_aegyptiacus","Chiroptera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,"Y"
8,"15_8","Bundibugyo ebolavirus","","Rousettus_aegyptiacus","Chiroptera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,"Y"
8,"16_8","Bundibugyo ebolavirus","","Rousettus_aegyptiacus","Chiroptera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,"Y"
8,"17_8","Tai Forest ebolavirus","","Rousettus_aegyptiacus","Chiroptera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,"Y"
8,"18_8","Tai Forest ebolavirus","","Rousettus_aegyptiacus","Chiroptera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,"Y"
8,"19_8","Tai Forest ebolavirus","","Rousettus_aegyptiacus","Chiroptera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,"Y"
8,"20_8","Tai Forest ebolavirus","","Rousettus_aegyptiacus","Chiroptera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,"Y"
8,"21_8","Reston ebolavirus","","Rousettus_aegyptiacus","Chiroptera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,"Y"
8,"22_8","Reston ebolavirus","","Rousettus_aegyptiacus","Chiroptera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,"Y"
8,"23_8","Reston ebolavirus","","Rousettus_aegyptiacus","Chiroptera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,"Y"
8,"24_8","Reston ebolavirus","","Rousettus_aegyptiacus","Chiroptera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,"Y"
8,"25_8","Sudan ebolavirus","Gulu","Rousettus_aegyptiacus","Chiroptera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,"Y"
8,"26_8","Sudan ebolavirus","Gulu","Rousettus_aegyptiacus","Chiroptera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,"Y"
8,"27_8","Sudan ebolavirus","Gulu","Rousettus_aegyptiacus","Chiroptera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,"Y"
8,"28_8","Sudan ebolavirus","Gulu","Rousettus_aegyptiacus","Chiroptera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,"Y"
8,"29_8","Sudan ebolavirus","Gulu","Rousettus_aegyptiacus","Chiroptera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,"Y"
8,"30_8","Sudan ebolavirus","Gulu","Rousettus_aegyptiacus","Chiroptera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,"Y"
8,"31_8","Sudan ebolavirus","Gulu","Rousettus_aegyptiacus","Chiroptera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,"Y"
8,"32_8","Sudan ebolavirus","Gulu","Rousettus_aegyptiacus","Chiroptera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,"Y"
8,"33_8","Sudan ebolavirus","Gulu","Rousettus_aegyptiacus","Chiroptera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,"Y"
8,"34_8","Sudan ebolavirus","Gulu","Rousettus_aegyptiacus","Chiroptera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,"Y"
8,"35_8","Sudan ebolavirus","Gulu","Rousettus_aegyptiacus","Chiroptera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,"Y"
8,"36_8","Sudan ebolavirus","Gulu","Rousettus_aegyptiacus","Chiroptera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,"Y"
